Голодранец Jew,"Согласен. Торгуем недельки называется. Но тут сразу мне кажется косяк, ты закладываешь мысль, что будешь прав по итогу, а это не так, прав по итогу только рынок. И порой чудеса на рынке происходят. Хотя бы нефть в минусе вспомним. А сколько делиснутых или валяющихся на дне днищенском никому не нужные годами, десятками лет, в свое время мега компаний? Особенно на вечно растущем амерском рынке - да ни с честь как много.    Завтра нашему президенту хулигану в голову припрет что-нибудь патриотичное сделать на мировой арене. Привет рубль, привет обвалище. Или просто амерам в голову кипяток ударит и жахнут не именными санкциями, а на компанию, как на Русал?",17.06.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82300
Bubble gum,Согласна со Штоком полностью,17.06.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82300
Кристофер,проговорился    почти вот так   https://www.youtube.com/watch?v=L6EE8j1NSQ0,23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Reks007,Билайн... а там баритон мужской - аллё🤣🤣🤣,23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
@VEGA@,🤣🤣🤣🤣🤣,23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
@VEGA@,"Кстати, недавно скончалась актриса сыгравшая роль Мальвины, Татьяна Проценко 😭",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Кристофер,"По приказу Лукашенко посадили гражданский самолет, который летел через воздушное пространство Белоруссии - из Афин в Литву и извлекли из него руководителя телеграмм-канала некст - все по лекалам США. Красавец",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Белый Кирпич,"Поздравляю, пятитысячник!",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Кристофер,счетчик убийства времени,23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Чужой босяк,"То есть, в момент покупки автомобиля, надо учитывать и количество выбросов СО в атмосферу?  То есть, человек, перед обедом, должен задуматься о количестве калла от съеденного, а так же рассчитать коэффициент увеличения нагрузки на уличный коллектор?",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Reks007,"Типа сигнал о минировании... чётко сработано... все все поняли, но не подкопаешься🤣🤣🤣",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Чужой босяк,Не трожь Чужого...))))),23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Кристофер,американцы так делали  не помню где - но было   чел то думал что можно будет по призывать к беспорядкам а потом на деньги госдепы отдыхать на югах.  но кровавый рЭжим достал его когтистыми лапами.  вот он хватанул радости в этот момент,23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Чужой босяк,"Элементарно, кто не дает прогнозов, тот и не избуха. А остальные под сомнением все!)))",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Reks007,"Этот вопрос нужно фанатам и читателям графиков переадресовать...  Нормальный человек пошлёт на три буквы этого «хироманта» с его графиками... ибо прекрасно понимает, что никакой взаимосвязи/корреляции между графиками и ценой нету, а шарлатан тупо владеет инфой, которая ещё не озвучена в массы... но пытается пустить пыль в глаза и показаться умнее, прикрываясь для пущей значимости кучей графиков...",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Чужой босяк,"Посчитаю, лично я, взял ты биток по 32...  Что видишь? И по временным отрезкам. (для современных- по тайм-фреймам)",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Reks007,А вот «адвокат» заминусил🤣🤣🤣  Видимо опять меня разигнорил...,23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Reks007,Ну не совсем... прогнозы то нормальная вещь... важна подача информации и дальнейшее поведение... прогнозируют цену в той или иной степени все... но вот призывы🤔 и дальнейшее исчезновение с форума под различными предлогами... зачем это успешному и самодостаточному человеку?,23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Чужой босяк,"Общество разделилось по слоям.  Кто-то не верил в графики, но посматривал... Ну не всегда попадал. Не мог в разворот попасть, так как искал Грааль....  Некоторые переХЕДЖИРОВАЛИСЬ...  А кто-то и в казино поиграл....  Кто-то топил за рост, но шортил, хотя мишек мало.  Кто-то говорил, я за рост, но вру, в лонге сижу...  И как тут верить в человечество?",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Чужой босяк,"Не задумывался, а зачем, самодостаточному человеку надо давать прогнозы?  Все дают прогнозы, даже эксперты, только для самоутверждения...",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
V@SA' Станиславский,А Он с другой Уехал на Мальдивы  И будет ей Свою Любовь Дарить  А Ты в своей обо..ной халупе  В бессильной Злобе будешь Жабу из Себя Давить...,23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82301
Duke Diamond,"Я ведь не говорил, что я этого хочу... Если кому то это надо, то я не против ...",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82302
V@SA' Станиславский,"Что можно интересное посмотреть фильм какой-нибудь   или телесериал новенький , но не украинский....   Мне Елок  с Зеленским хватило",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82302
Reks007,"Эх, Василий... Мальдивы, Мальдивы и ещё раз Мальдивы...  Вы же с Крисом вроде выяснили про следование сигналам «богоподобных»🤣🤣🤣  Да и откуда бессильная злоба и жаба? Я так понимаю это  больше для тех, кто действительно последовал «совету» и зашортил с 296... а остальным то чего злиться? От того что они в лонге до 320 прокатились?🤣🤣🤣",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82302
Чужой босяк,"То есть, главное как преподнести прогноз?)  Не надо призывать, не надо график смотреть.  Просто, сказал мнение... и ФсЕ))))",23.05.2021,http://forum.mfd.ru/forum/thread/?id=62075&page=82302
